totalload_actual,variable,value
32949.0,conventional,16830.0
33195.0,conventional,16515.0
32426.0,conventional,15798.0
31895.0,conventional,15722.0
31644.0,conventional,15434.0
31656.0,conventional,16350.0
30812.0,conventional,17224.0
30893.0,conventional,18572.0
32858.0,conventional,19055.0
32059.0,conventional,17991.0
29129.0,conventional,17266.0
26755.0,conventional,15850.0
26485.0,conventional,18386.0
24649.0,conventional,17226.0
23220.0,conventional,16626.0
22586.0,conventional,16346.0
22221.0,conventional,16027.0
22148.0,conventional,16193.0
22469.0,conventional,16001.0
22957.0,conventional,15987.0
23960.0,conventional,15743.0
25994.0,conventional,15692.0
27364.0,conventional,15794.0
27682.0,conventional,15740.0
27398.0,conventional,15526.0
27520.0,conventional,15723.0
27262.0,conventional,15260.0
26185.0,conventional,15012.0
25375.0,conventional,14919.0
25196.0,conventional,16015.0
27299.0,conventional,17489.0
28822.0,conventional,17717.0
29569.0,conventional,17736.0
29496.0,conventional,17697.0
28344.0,conventional,16391.0
26424.0,conventional,15588.0
27592.0,conventional,16507.0
25652.0,conventional,15007.0
24165.0,conventional,13949.0
23445.0,conventional,13986.0
23176.0,conventional,13931.0
23167.0,conventional,13933.0
23782.0,conventional,14224.0
25273.0,conventional,14609.0
26823.0,conventional,14955.0
29418.0,conventional,16048.0
30850.0,conventional,16218.0
31070.0,conventional,16047.0
30452.0,conventional,15768.0
30335.0,conventional,15048.0
29804.0,conventional,14703.0
28701.0,conventional,14648.0
27893.0,conventional,14964.0
28646.0,conventional,15709.0
30653.0,conventional,16233.0
31068.0,conventional,16271.0
31525.0,conventional,16353.0
31244.0,conventional,16250.0
29784.0,conventional,16105.0
27859.0,conventional,15126.0
29696.0,conventional,19306.0
27207.0,conventional,18142.0
25639.0,conventional,17666.0
24942.0,conventional,17447.0
24452.0,conventional,17080.0
24303.0,conventional,17217.0
24930.0,conventional,17595.0
26539.0,conventional,18408.0
28350.0,conventional,18431.0
31034.0,conventional,19658.0
33328.0,conventional,20443.0
33998.0,conventional,20650.0
33837.0,conventional,20743.0
34051.0,conventional,20612.0
33580.0,conventional,20483.0
32283.0,conventional,19655.0
31363.0,conventional,18758.0
31130.0,conventional,19275.0
32760.0,conventional,20116.0
33712.0,conventional,20818.0
34044.0,conventional,20912.0
33730.0,conventional,20910.0
32351.0,conventional,20520.0
30229.0,conventional,19746.0
27927.0,conventional,17879.0
25579.0,conventional,17079.0
23887.0,conventional,16257.0
22968.0,conventional,15874.0
22367.0,conventional,15673.0
22345.0,conventional,15775.0
22849.0,conventional,16067.0
23666.0,conventional,16561.0
24472.0,conventional,16631.0
26437.0,conventional,17728.0
29091.0,conventional,18445.0
30443.0,conventional,19253.0
30689.0,conventional,19624.0
31383.0,conventional,20029.0
31230.0,conventional,19953.0
29789.0,conventional,19786.0
28694.0,conventional,19828.0
28529.0,conventional,20114.0
30829.0,conventional,20595.0
32694.0,conventional,20817.0
33733.0,conventional,20797.0
33944.0,conventional,20876.0
32725.0,conventional,20931.0
29987.0,conventional,20538.0
27071.0,conventional,19657.0
24897.0,conventional,18632.0
23763.0,conventional,17932.0
23367.0,conventional,17493.0
23467.0,conventional,17426.0
24232.0,conventional,17957.0
27441.0,conventional,19218.0
32817.0,conventional,21888.0
36481.0,conventional,23122.0
37847.0,conventional,23503.0
38595.0,conventional,23685.0
38455.0,conventional,23772.0
37900.0,conventional,23685.0
37541.0,conventional,23491.0
36353.0,conventional,22871.0
35719.0,conventional,22137.0
35397.0,conventional,21806.0
35698.0,conventional,22469.0
37389.0,conventional,23444.0
38677.0,conventional,23450.0
39011.0,conventional,22987.0
38107.0,conventional,22873.0
35180.0,conventional,20734.0
31684.0,conventional,18995.0
29080.0,conventional,16661.0
26989.0,conventional,15603.0
25534.0,conventional,15335.0
25043.0,conventional,15371.0
24865.0,conventional,15348.0
25549.0,conventional,15602.0
28376.0,conventional,16243.0
33340.0,conventional,17982.0
36495.0,conventional,19448.0
37428.0,conventional,19766.0
37824.0,conventional,19991.0
37398.0,conventional,19878.0
36831.0,conventional,19390.0
36585.0,conventional,19222.0
